14492                     1 5573148                    
144973                    2 5039958                    
145                       11 1127952                   
1450742                   2 3657822                    
1451                      2 3547320                    
14527                     1 5492928                    
145516                    2 3205314                    
1458                      3 3537681                    
145a                      1 3538143                    
146                       7 1129632                    
146030                    2 4010517                    
146087                    2 4012806                    
14630                     1 5473104                    
14636                     1 5473356                    
14643                     2 5472201                    
146613                    2 4066293                    
14669                     2 5473944                    
14672                     2 5468568                    
14683                     2 5468337                    
14685                     2 5468043                    
147                       12 1129863                   
147240                    2 4233306                    
147382                    2 2069529                    
147562                    2 2003505                    
14759                     2 5523504                    
147652                    2 2030469                    
14767                     2 5522328                    
14769                     2 5522370                    
14789                     1 5521866                    
14791                     2 5525205                    
14795                     2 5525268                    
148                       14 1130115                   
14803                     2 5531946                    
1481                      1 3537345                    
14811                     2 5530791                    
148188                    2 1811271                    
1482                      1 3537366                    
14823                     2 5531274                    
14830                     2 5533164                    
14840                     2 5533605                    
148475                    2 1752198                    
1485                      2 3537597                    
14865                     1 5532723                    
14868                     4 5532597                    
1488                      2 3537429                    
148859                    1 2995524                    
14897                     3 5504646                    
149                       9 1130409                    
1490                      2 3537639                    
14901                     2 5516952                    
14906                     1 5516994                    
14926                     2 5517309                    
14934                     1 5518233                    
14951                     2 5518464                    
14960                     3 5519892                    
14966                     2 5519661                    
14977                     2 5520480                    
14aaaeealktqti1bvtfs63    17 4082379                   
14am                      1 3516429                    
14fn                      66 3501729                   
14k                       4 1099959                    
14pgs                     56 4194750                   
14s                       49 1096998                   
14th                      2 3511074                    
150                       33 1095087                   
1500                      7 3531339                    
15017                     1 3615927                    
150187                    2 4458300                    
15025                     1 3617481                    
15054                     2 3639237                    
150763                    2 4552401                    
15086                     3 3636213                    
15088                     1 3635940                    
1509                      1 3531570                    
150993                    2 4408614                    
151                       11 1095780                   
15114                     2 3598287                    
151286                    2 3993234                    
151419                    2 3943149                    
15169                     2 3613659                    
15186                     2 3613092                    
152                       49 1093806                   
1520                      2 3530730                    
152148                    2 3458742                    
15219                     2 3572898                    
15221                     1 3573717                    
15243                     3 3574662                    
15258                     2 3574137                    
1526                      2 3530772                    
15276                     5 3575481                    
152828                    2 3280683                    
152843                    1 3281334                    
15291                     2 3588396                    
15297                     3 3588333                    
152nd                     1 3698394                    
153                       12 1094835                   
15305                     5 3555489                    
15308                     2 3555594                    
1534                      4 3536967                    
15344                     2 3546144                    
15348                     2 3546312                    
153553                    1 3344229                    
154                       10 1093596                   
15402                     1 3699150                    
154039                    2 4166736                    
15422                     2 3698751                    
154309                    1 4126605                    
1544                      2 3536652                    
15446                     2 3701166                    
154487                    2 4097793                    
15476                     2 3701082                    
15490                     1 3700746                    
155                       11 1092378                   
1551                      1 3535875                    
15514                     2 3688755                    
15519                     2 3688902                    
1552                      1 3684891                    
15533                     2 3684009                    
15545                     2 3684786                    
15554                     2 3685143                    
15569                     4 3690288                    
15572                     4 3691107                    
155771                    2 4592931                    
15596                     2 3691947                    
156                       9 1092189                    
156048                    1 5550573                    
15611                     1 3670149                    
15642                     2 3671031                    
15646                     1 3671073                    
15658                     1 3671493                    
15663                     3 3670674                    
156655                    2 5442192                    
156681                    2 5443410                    
1567                      2 3534573                    
1568                      3 3534615                    
15690                     3 3673530                    
157                       10 1091979                   
15701                     1 3664815                    
157120                    2 566580                     
15714                     1 3664101                    
157278                    2 548436                     
157444                    1 588147                     
15747                     2 3649716                    
15754                     2 3651312                    
15763                     2 3651921                    
15781                     1 3652467                    
157864                    2 811545                     
1579                      3 3511620                    
15791                     1 3653769                    
